ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1465;Transformer;16;64;4;8;90;12;1;2;5;0.1
1466;Transformer;32;64;4;8;90;12;1;2;5;0.1
1467;Transformer;32;96;4;8;90;12;1;2;5;0.1
1468;Transformer;32;128;4;8;90;12;1;2;5;0.1
1469;Transformer;64;128;4;8;90;12;1;2;5;0.1
1470;Transformer;64;192;4;8;90;12;1;2;5;0.1
1471;Transformer;64;256;4;8;90;12;1;2;5;0.1
1472;Transformer;16;32;2;2;100;12;1;2;5;0.1
1473;Transformer;16;48;2;2;100;12;1;2;5;0.1
1474;Transformer;16;64;2;2;100;12;1;2;5;0.1
1475;Transformer;32;64;2;2;100;12;1;2;5;0.1
1476;Transformer;32;96;2;2;100;12;1;2;5;0.1
1477;Transformer;32;128;2;2;100;12;1;2;5;0.1
1478;Transformer;64;128;2;2;100;12;1;2;5;0.1
1479;Transformer;64;192;2;2;100;12;1;2;5;0.1
1480;Transformer;64;256;2;2;100;12;1;2;5;0.1
1481;Transformer;16;32;3;2;100;12;1;2;5;0.1
1482;Transformer;16;48;3;2;100;12;1;2;5;0.1
1483;Transformer;16;64;3;2;100;12;1;2;5;0.1
1484;Transformer;32;64;3;2;100;12;1;2;5;0.1
1485;Transformer;32;96;3;2;100;12;1;2;5;0.1
1486;Transformer;32;128;3;2;100;12;1;2;5;0.1
1487;Transformer;64;128;3;2;100;12;1;2;5;0.1
1488;Transformer;64;192;3;2;100;12;1;2;5;0.1
1489;Transformer;64;256;3;2;100;12;1;2;5;0.1
1490;Transformer;16;32;4;2;100;12;1;2;5;0.1
1491;Transformer;16;48;4;2;100;12;1;2;5;0.1
1492;Transformer;16;64;4;2;100;12;1;2;5;0.1
1493;Transformer;32;64;4;2;100;12;1;2;5;0.1
1494;Transformer;32;96;4;2;100;12;1;2;5;0.1
1495;Transformer;32;128;4;2;100;12;1;2;5;0.1
1496;Transformer;64;128;4;2;100;12;1;2;5;0.1
1497;Transformer;64;192;4;2;100;12;1;2;5;0.1
1498;Transformer;64;256;4;2;100;12;1;2;5;0.1
1499;Transformer;16;32;2;4;100;12;1;2;5;0.1
1500;Transformer;16;48;2;4;100;12;1;2;5;0.1
1501;Transformer;16;64;2;4;100;12;1;2;5;0.1
1502;Transformer;32;64;2;4;100;12;1;2;5;0.1
1503;Transformer;32;96;2;4;100;12;1;2;5;0.1
1504;Transformer;32;128;2;4;100;12;1;2;5;0.1
1505;Transformer;64;128;2;4;100;12;1;2;5;0.1
1506;Transformer;64;192;2;4;100;12;1;2;5;0.1
1507;Transformer;64;256;2;4;100;12;1;2;5;0.1
1508;Transformer;16;32;3;4;100;12;1;2;5;0.1
1509;Transformer;16;48;3;4;100;12;1;2;5;0.1
1510;Transformer;16;64;3;4;100;12;1;2;5;0.1
1511;Transformer;32;64;3;4;100;12;1;2;5;0.1
1512;Transformer;32;96;3;4;100;12;1;2;5;0.1
1513;Transformer;32;128;3;4;100;12;1;2;5;0.1
1514;Transformer;64;128;3;4;100;12;1;2;5;0.1
1515;Transformer;64;192;3;4;100;12;1;2;5;0.1
1516;Transformer;64;256;3;4;100;12;1;2;5;0.1
1517;Transformer;16;32;4;4;100;12;1;2;5;0.1
1518;Transformer;16;48;4;4;100;12;1;2;5;0.1
1519;Transformer;16;64;4;4;100;12;1;2;5;0.1
1520;Transformer;32;64;4;4;100;12;1;2;5;0.1
1521;Transformer;32;96;4;4;100;12;1;2;5;0.1
1522;Transformer;32;128;4;4;100;12;1;2;5;0.1
1523;Transformer;64;128;4;4;100;12;1;2;5;0.1
1524;Transformer;64;192;4;4;100;12;1;2;5;0.1
1525;Transformer;64;256;4;4;100;12;1;2;5;0.1
1526;Transformer;16;32;2;8;100;12;1;2;5;0.1
1527;Transformer;16;48;2;8;100;12;1;2;5;0.1
1528;Transformer;16;64;2;8;100;12;1;2;5;0.1
1529;Transformer;32;64;2;8;100;12;1;2;5;0.1
1530;Transformer;32;96;2;8;100;12;1;2;5;0.1
1531;Transformer;32;128;2;8;100;12;1;2;5;0.1
