time,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,veh_u,veh_v
19.76,9.1932954788208,8.962067604064941,9.422760963439941,9.101673126220703,8.962356567382812,9.25739,0.02376
19.77,9.1932954788208,8.962067604064941,9.422760963439941,9.101673126220703,8.962356567382812,9.25327,0.00785
19.78,9.1932954788208,8.962067604064941,9.422760963439941,9.101673126220703,8.962356567382812,9.24899,0.0
19.79,9.136493682861328,8.975625038146973,9.44035530090332,9.11997127532959,8.896512985229492,9.24455,0.0
19.8,9.136493682861328,8.975625038146973,9.44035530090332,9.11997127532959,8.896512985229492,9.23995,0.0
19.81,9.136493682861328,8.975625038146973,9.44035530090332,9.11997127532959,8.896512985229492,9.2352,0.0
19.82,9.136493682861328,8.975625038146973,9.44035530090332,9.11997127532959,8.896512985229492,9.23029,0.0
19.83,9.136493682861328,8.975625038146973,9.44035530090332,9.11997127532959,8.896512985229492,9.22625,0.0
19.84,9.089371681213379,8.997260093688965,9.396672248840332,9.12346363067627,8.8296537399292,9.22001,0.0
19.85,9.089371681213379,8.997260093688965,9.396672248840332,9.12346363067627,8.8296537399292,9.21463,0.0
19.86,9.089371681213379,8.997260093688965,9.396672248840332,9.12346363067627,8.8296537399292,9.20909,0.0
19.87,9.089371681213379,8.997260093688965,9.396672248840332,9.12346363067627,8.8296537399292,9.2034,0.0
19.88,9.089371681213379,8.997260093688965,9.396672248840332,9.12346363067627,8.8296537399292,9.19755,0.0
19.89,9.064000129699707,8.994833946228027,9.316164016723633,9.104033470153809,8.777139663696289,9.19155,0.0
19.9,9.064000129699707,8.994833946228027,9.316164016723633,9.104033470153809,8.777139663696289,9.18663,0.0
19.91,9.064000129699707,8.994833946228027,9.316164016723633,9.104033470153809,8.777139663696289,9.17908,0.0
19.92,9.064000129699707,8.994833946228027,9.316164016723633,9.104033470153809,8.777139663696289,9.17261,0.0
19.93,9.064000129699707,8.994833946228027,9.316164016723633,9.104033470153809,8.777139663696289,9.166,0.0
19.94,9.066347122192383,8.965500831604004,9.232604026794434,9.066588401794434,8.756596565246582,9.15925,0.0
19.95,9.066347122192383,8.965500831604004,9.232604026794434,9.066588401794434,8.756596565246582,9.15236,0.0
19.96,9.066347122192383,8.965500831604004,9.232604026794434,9.066588401794434,8.756596565246582,9.14533,0.0
19.97,9.066347122192383,8.965500831604004,9.232604026794434,9.066588401794434,8.756596565246582,9.13818,0.0
19.98,9.066347122192383,8.965500831604004,9.232604026794434,9.066588401794434,8.756596565246582,9.13091,0.0
19.99,9.0769624710083,8.91873550415039,9.164955139160156,9.016921997070312,8.738460540771484,9.12501,0.0
20.0,9.0769624710083,8.91873550415039,9.164955139160156,9.016921997070312,8.738460540771484,9.11605,0.0
20.01,9.0769624710083,8.91873550415039,9.164955139160156,9.016921997070312,8.738460540771484,9.10849,0.0
20.02,9.0769624710083,8.91873550415039,9.164955139160156,9.016921997070312,8.738460540771484,9.10086,0.0
20.03,9.0769624710083,8.91873550415039,9.164955139160156,9.016921997070312,8.738460540771484,9.09317,0.0
20.04,9.089483261108398,8.875127792358398,9.1292142868042,8.967094421386719,8.736727714538574,9.08543,0.0
20.05,9.089483261108398,8.875127792358398,9.1292142868042,8.967094421386719,8.736727714538574,9.07767,0.0
20.06,9.089483261108398,8.875127792358398,9.1292142868042,8.967094421386719,8.736727714538574,9.0699,0.0
20.07,9.089483261108398,8.875127792358398,9.1292142868042,8.967094421386719,8.736727714538574,9.06214,0.0
20.08,9.089483261108398,8.875127792358398,9.1292142868042,8.967094421386719,8.736727714538574,9.05595,0.0
20.09,9.055201530456543,8.839086532592773,9.111496925354004,8.917119026184082,8.751933097839355,9.04672,0.0
20.1,9.055201530456543,8.839086532592773,9.111496925354004,8.917119026184082,8.751933097839355,9.03911,0.0
20.11,9.055201530456543,8.839086532592773,9.111496925354004,8.917119026184082,8.751933097839355,9.03158,0.0
20.12,9.055201530456543,8.839086532592773,9.111496925354004,8.917119026184082,8.751933097839355,9.02415,0.0
20.13,9.055201530456543,8.839086532592773,9.111496925354004,8.917119026184082,8.751933097839355,9.01685,0.0
20.14,8.999019622802734,8.814002990722656,9.105264663696289,8.874716758728027,8.77072525024414,9.0097,0.0
20.15,8.999019622802734,8.814002990722656,9.105264663696289,8.874716758728027,8.77072525024414,9.00409,0.0
