time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
1.62 sec,0,0,0,-0.489492702403515,-6.74514263887538e-13,0
1.63 sec,0,5.10702591327572e-18,0,-0.492789343487847,6.24437133944777e-13,0
1.64 sec,0,0.000230000000000005,0,-0.489492702403337,-6.74512529164062e-13,0
1.65 sec,0,0.000460000000000006,0,-0.492789343487911,6.24439736029991e-13,0
1.66 sec,0,0.000710000000000007,0,-0.489492702403319,-6.74512529164062e-13,0
1.67 sec,0,0.00103,0,-0.492789343487917,6.24441470753467e-13,0
1.68 sec,0,0.00131,0,-0.489492702403317,-6.74512529164062e-13,0
1.69 sec,0,0.00159,0,-0.492789343487918,6.24441470753467e-13,0
1.7 sec,0,0.00188,0,-0.489492702403317,-6.74512529164062e-13,0
1.71 sec,0,0.00217,0,-0.492789343487918,6.24441470753467e-13,0
1.72 sec,0,0.00245,-0.00170926,-0.489492702403317,-0.00170926000050359,0
1.73 sec,0,0.00272,0,-0.492789343487918,8.83655995598254e-13,0
1.74 sec,0,0.00299,0,-0.489492702403317,-6.74523804866656e-13,0
1.75 sec,0,0.00324,0,-0.492789343487918,6.24451011732585e-13,0
1.76 sec,0,0.00347,0,-0.489492702403317,-6.74514263887538e-13,0
1.77 sec,0,0.00368,0,-0.492789343487918,6.24444072838681e-13,0
1.78 sec,0,0.00387,0,-0.489492702403317,-6.745133965258e-13,0
1.79 sec,0,0.00404,-0.001684,-0.492789343487918,-0.00168399999920716,0
1.8 sec,0,0.00418,0,-0.489492702403317,-4.19130008477708e-13,0
1.81 sec,0,0.0043,0,-0.492789343487918,6.24391163772664e-13,0
1.82 sec,0,0.00439,0,-0.489492702403317,-6.74502988184944e-13,0
1.83 sec,0,0.00445,0,-0.492789343487918,6.24428460327398e-13,0
1.84 sec,0,0.00449,-0.00170926,-0.489492702403317,-0.00170926000050358,0
1.85 sec,0,0.00449,-0.00170084,-0.49278930413277,-0.00170083999894743,0
1.86 sec,0,0.00447,0,-0.489495333574945,-4.15418567600856e-13,0
1.87 sec,0,0.00443,0,-0.492786368507662,6.23230633767236e-13,0
1.88 sec,0,0.00438,0,-0.489495587596252,-6.72168917748017e-13,0
1.89 sec,0,0.00429,0,-0.492783615962571,6.20925186267662e-13,0
1.9 sec,0,0.00419,0,-0.489501078508257,-6.68669980496972e-13,0
1.91 sec,0,0.00406,0,-0.492774956061211,6.17428851101831e-13,0
1.92 sec,0,0.00389,0,-0.48950981635184,-6.65167573798975e-13,0
1.93 sec,0,0.00374,-0.00167558,-0.492765866939607,-0.00167557999922085,0
1.94 sec,0,0.00358,0,-0.489523852009473,-4.05220995647326e-13,0
1.95 sec,0,0.0034,0,-0.49275094365194,6.06867854580084e-13,0
1.96 sec,0,0.00323,0,-0.48953583747701,-6.54645608555438e-13,0
1.97 sec,0,0.00305,0,-0.492738858523774,6.01063469829466e-13,0
1.98 sec,0,0.00288,0,-0.489550137066586,-6.47644264606395e-13,0
1.99 sec,0,0.00271,-0.00170084,-0.492721150141771,-0.00170083999923702,0
2 sec,0,0.00255,0,-0.48957028765539,-3.81532045540256e-13,0
2.01 sec,0,0.00242999999999999,0,-0.492700197896832,5.85837801880817e-13,0
2.02 sec,0,0.00227,0,-0.48958813276707,-6.3245155640379e-13,0
2.03 sec,0,0.00216999999999999,-0.00167557999999993,-0.492682150405848,-0.0016755799992535,0
2.04 sec,0,0.00205,0,-0.489605692877397,-3.71343580884975e-13,0
2.05 sec,0,0.00197,0,-0.492664135755431,5.71817766747973e-13,0
2.06 sec,0,0.00191,-0.00167558,-0.489623285728486,-0.00167558000045204,0
2.07 sec,0,0.00187,-0.00167558,-0.492648840697424,-0.00167557999901115,0
2.08 sec,0,0.00185,0,-0.489635318373128,-3.60841564961412e-13,0
2.09 sec,0,0.00185,-0.00167558,-0.492636872117827,-0.00167557999926763,0
2.1 sec,0,0.00187,0,-0.489641795254996,-3.5965631514645e-13,0
2.11 sec,0,0.00191,-0.00167558,-0.492633488669144,-0.00167557999926881,0
2.12 sec,0,0.00197,-0.00167558,-0.489644791041788,-0.00167558000019209,0
2.13 sec,0,0.00205,0,-0.492633164713199,8.17734768787659e-13,0
2.14 sec,0,0.00214,0,-0.489644822161382,-6.13770319290996e-13,0
2.15 sec,0,0.00224,0,-0.492633161862141,5.6368278100738e-13,0
2.16 sec,0,0.00235,0,-0.489644822297004,-6.13770319290996e-13,0
2.17 sec,0,0.00245,0,-0.492633161904905,5.63687985177808e-13,0
2.18 sec,0,0.00256,-0.00167558,-0.489644822277451,-0.00167558000044621,0
